outname	scaff	start	end	win_size	num_sites	num_snps	Rho	FstWC	dxy	AFD	FixedDiff	FstH	FstN
DIPTET_WS1_MS1	scaffold_1	5498.0	5499.0	1.0	1	1	0.06051278973252553	0.01775416156287413	0.032467532467532464	0.032467532467532464	0	0.02931596091205211	0.016501650165016497
DIPTET_WS1_MS1	scaffold_1	7146.0	7147.0	1.0	1	1	0.057763611794232464	0.013788243547900793	0.025974025974025976	0.025974025974025976	0	0.022801302931596094	0.013157894736842106
DIPTET_WS1_MS1	scaffold_1	9105.0	9106.0	1.0	1	1	0.03534083225499858	0.006753658309129871	0.016233766233766232	0.016233766233766232	0	0.013029315960912046	0.00818330605564648
DIPTET_WS1_MS1	scaffold_1	12021.0	12022.0	1.0	1	1	0.3995456341805654	0.4218618430966341	0.3194444444444444	0.3194444444444444	0	0.31468531468531463	0.19008264462809912
DIPTET_WS1_MS1	scaffold_1	22388.0	22389.0	1.0	1	1	-0.013808872620518373	-0.007138198489632218	0.09257756132756133	9.018759018759176e-05	0	-0.005123437134429231	4.3929661056747976e-08
DIPTET_WS1_MS1	scaffold_1	29450.0	29451.0	1.0	1	1	0.021501593104277784	0.009583145981233044	0.0661976911976912	-0.029130591630591632	0	0.006993596627834974	0.006450870919203815
DIPTET_WS1_MS1	scaffold_1	52904.0	52905.0	1.0	1	1	0.0004349613760804813	-0.0006752675961077647	0.38690476190476186	0.049603174603174593	0	0.001381313082641069	0.0031898333631051106
DIPTET_WS1_MS1	scaffold_1	53397.0	53398.0	1.0	1	1	0.017352836581949797	0.0050310650493029475	0.0706168831168831	0.03111471861471862	0	0.009417741642834312	0.006902087431311838
DIPTET_WS1_MS1	scaffold_1	54008.0	54009.0	1.0	1	1	0.002488179703370831	0.00367446530206676	0.006944444444444444	-0.006944444444444444	0	0.0	0.003484320557491289
DIPTET_WS1_MS1	scaffold_1	54555.0	54556.0	1.0	1	1	0.1324577582487244	0.11768976684877526	0.37090163934426235	0.20286885245901642	0	0.10505146812427885	0.0587396242246262
DIPTET_WS1_MS1	scaffold_1	68806.0	68807.0	1.0	1	1	0.1237594987784476	0.06041133139660931	0.26068722943722944	0.14114357864357863	0	0.07239975292964781	0.039727575296506494
DIPTET_WS1_MS1	scaffold_1	69983.0	69984.0	1.0	1	1	0.36344069951171504	0.3662063805596557	0.27142857142857146	0.27142857142857146	0	0.26618705035971224	0.15702479338842984
DIPTET_WS1_MS1	scaffold_1	83260.0	83261.0	1.0	1	1	-0.007437826847152236	-0.002362246504650357	0.23552489177489178	-0.019209956709956733	0	-0.003661166976645179	0.0007840185265397522
DIPTET_WS1_MS1	scaffold_1	83297.0	83298.0	1.0	1	1	0.09434161055192296	0.04996772338138699	0.24603174603174605	-0.11002886002886003	0	0.043731092906253155	0.02522381475185759
